               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11958,            0.037092,            0.030478,           0.0044747,             0.14646,           0.0028602,          0.00076537,             0.11134,            0.026858,            0.029785,              0.0937,              0.0007,              0.0007
                   1,             0.10219,            0.039419,            0.027004,            0.007336,             0.37626,            0.054486,             0.01121,            0.086121,            0.025638,            0.023352,             0.08647,           0.0014703,           0.0014703
                   2,             0.08672,            0.039974,            0.024703,            0.022501,             0.56818,              0.2517,            0.065615,            0.078876,            0.023945,            0.019175,            0.079209,           0.0022089,           0.0022089
                   3,            0.076539,            0.038152,            0.022041,             0.80534,             0.36111,             0.43008,              0.1469,            0.068364,            0.020817,            0.014422,            0.071916,           0.0029159,           0.0029159
                   4,            0.072626,            0.037228,            0.017352,             0.28925,             0.69949,              0.5476,             0.18365,            0.070205,            0.017934,           0.0097087,            0.064591,           0.0035911,           0.0035911
                   5,            0.065504,            0.037699,            0.013967,             0.20029,             0.65404,             0.26512,             0.09936,            0.065218,            0.018319,           0.0061096,            0.057235,           0.0042347,           0.0042347
                   6,            0.064077,            0.031834,            0.010401,             0.40396,             0.89899,             0.55641,             0.19105,            0.060238,            0.015705,           0.0040498,            0.049847,           0.0048466,           0.0048466
                   7,            0.062412,            0.029969,           0.0086296,             0.49742,             0.58586,             0.63805,             0.20407,             0.06804,            0.012645,             0.00272,            0.042427,           0.0054268,           0.0054268
                   8,            0.066184,            0.027167,           0.0077788,             0.45822,             0.67929,             0.62723,             0.26649,            0.063883,            0.011369,           0.0022363,            0.034975,           0.0059754,           0.0059754
                   9,            0.062129,            0.027251,           0.0064143,              0.4481,             0.69977,              0.6292,             0.26407,            0.064003,            0.010697,           0.0017429,            0.027492,           0.0064922,           0.0064922
                  10,             0.06123,            0.024017,           0.0046497,             0.55835,             0.59912,             0.62211,             0.26493,            0.070704,            0.010325,           0.0011181,            0.019977,           0.0069774,           0.0069774
                  11,            0.059149,             0.02545,           0.0044898,             0.53071,             0.65152,             0.60783,             0.24256,            0.064843,            0.010433,           0.0010371,            0.012431,           0.0074309,           0.0074309
                  12,            0.063339,            0.024324,           0.0045919,             0.62177,             0.71341,             0.71409,              0.3671,             0.06179,             0.01044,           0.0011231,            0.007624,            0.007624,            0.007624
                  13,            0.063115,            0.025026,           0.0037116,             0.68454,             0.73485,             0.74002,             0.33319,            0.060358,            0.010192,           0.0011296,            0.007624,            0.007624,            0.007624
                  14,            0.060613,            0.023256,           0.0040534,             0.49271,             0.76263,             0.70311,             0.32416,             0.05376,            0.010238,           0.0012133,            0.007426,            0.007426,            0.007426
                  15,            0.053278,            0.024562,           0.0038402,              0.5641,             0.82576,              0.7538,             0.40234,            0.059763,           0.0099984,           0.0011211,            0.007228,            0.007228,            0.007228
                  16,            0.049668,            0.022403,           0.0038285,             0.57901,             0.81502,             0.69133,             0.33193,            0.058564,            0.010224,           0.0010709,             0.00703,             0.00703,             0.00703
                  17,            0.050966,            0.023253,           0.0051862,              0.5794,             0.73485,             0.70757,             0.35482,            0.054239,            0.010371,           0.0011255,            0.006832,            0.006832,            0.006832
                  18,            0.050136,             0.02416,           0.0033243,             0.86014,              0.7803,             0.83337,             0.45032,            0.049275,            0.010128,           0.0012608,            0.006634,            0.006634,            0.006634
                  19,            0.048578,            0.023722,           0.0042794,             0.86552,             0.77517,             0.82935,             0.33688,            0.053816,            0.010894,           0.0014301,            0.006436,            0.006436,            0.006436
                  20,            0.048158,             0.02357,           0.0035396,              0.8033,             0.77745,             0.78235,              0.3416,            0.048723,            0.010088,           0.0013441,            0.006238,            0.006238,            0.006238
                  21,            0.044078,            0.023615,           0.0032615,             0.79721,              0.7803,             0.84416,             0.38837,            0.051943,           0.0092551,           0.0013093,             0.00604,             0.00604,             0.00604
                  22,            0.047713,            0.022254,           0.0032326,             0.94978,              0.8257,             0.90193,             0.44622,            0.054191,           0.0088371,           0.0013633,            0.005842,            0.005842,            0.005842
                  23,            0.047422,            0.022297,           0.0031365,             0.99323,              0.7629,             0.88206,             0.48143,            0.049346,            0.009239,            0.001421,            0.005644,            0.005644,            0.005644
                  24,            0.041395,            0.025991,           0.0028247,              0.8165,              0.7509,             0.82577,             0.48694,            0.053418,           0.0096928,           0.0013336,            0.005446,            0.005446,            0.005446
                  25,            0.041097,            0.022678,           0.0032358,             0.97801,             0.73485,             0.89447,              0.5123,            0.051336,           0.0093065,           0.0012038,            0.005248,            0.005248,            0.005248
                  26,            0.039253,            0.022626,           0.0022576,             0.89074,             0.82648,             0.89458,             0.49105,            0.043744,           0.0098011,           0.0011736,             0.00505,             0.00505,             0.00505
                  27,             0.03923,            0.022859,           0.0018241,             0.72275,              0.8031,             0.82721,             0.45648,            0.053694,           0.0093634,           0.0011717,            0.004852,            0.004852,            0.004852
                  28,            0.043078,            0.020641,           0.0023044,             0.92547,             0.90216,             0.94946,              0.5412,            0.046946,           0.0091634,           0.0011925,            0.004654,            0.004654,            0.004654
                  29,            0.037633,            0.019652,           0.0023147,             0.90556,             0.89899,             0.93916,             0.51281,             0.04682,           0.0090156,            0.001324,            0.004456,            0.004456,            0.004456
                  30,            0.039334,            0.022632,           0.0028299,             0.99904,             0.89602,             0.95999,             0.51116,            0.040953,           0.0089998,           0.0014707,            0.004258,            0.004258,            0.004258
                  31,            0.038522,            0.021701,           0.0027789,             0.94224,             0.84782,             0.88941,             0.55831,            0.038066,           0.0089418,           0.0014369,             0.00406,             0.00406,             0.00406
                  32,            0.035428,            0.021515,           0.0024848,             0.93911,             0.84782,             0.89685,             0.50682,            0.041409,           0.0088306,           0.0014919,            0.003862,            0.003862,            0.003862
                  33,            0.034225,            0.022485,            0.002421,             0.83402,             0.82576,             0.86062,             0.48482,            0.045505,           0.0090008,           0.0012477,            0.003664,            0.003664,            0.003664
                  34,             0.03631,            0.020277,           0.0029483,             0.99973,              0.9217,             0.96586,             0.55542,            0.041017,            0.008838,           0.0010495,            0.003466,            0.003466,            0.003466
                  35,            0.031708,             0.01905,           0.0017804,             0.99632,             0.94066,             0.96458,             0.53745,             0.04223,           0.0085649,          0.00099262,            0.003268,            0.003268,            0.003268
                  36,            0.034708,             0.02056,           0.0017825,             0.99596,             0.92994,             0.96279,             0.58043,            0.043757,           0.0081556,          0.00097657,             0.00307,             0.00307,             0.00307
                  37,            0.032933,            0.020026,           0.0018575,             0.98844,             0.91667,             0.96392,             0.58515,             0.04238,           0.0081288,          0.00096932,            0.002872,            0.002872,            0.002872
                  38,            0.032177,            0.019201,           0.0018658,             0.99629,             0.92379,             0.96568,             0.61237,             0.04409,           0.0080677,            0.001028,            0.002674,            0.002674,            0.002674
                  39,            0.032065,            0.021359,            0.001643,             0.99646,             0.92407,             0.96493,             0.60993,            0.041183,           0.0080315,           0.0010127,            0.002476,            0.002476,            0.002476
                  40,            0.030103,            0.020959,           0.0013735,              0.9959,             0.92699,              0.9651,             0.60778,            0.040032,           0.0081471,           0.0010267,            0.002278,            0.002278,            0.002278
                  41,            0.032395,            0.018727,           0.0017016,              0.9841,             0.94104,             0.96501,             0.59268,            0.040081,           0.0081179,           0.0011054,             0.00208,             0.00208,             0.00208
                  42,            0.030776,            0.020424,           0.0012421,             0.98744,             0.94077,             0.96614,             0.62983,            0.039535,           0.0081187,           0.0011337,            0.001882,            0.001882,            0.001882
                  43,            0.029498,            0.020431,            0.001426,             0.99251,             0.94056,             0.96745,             0.61876,            0.040665,           0.0080301,           0.0011876,            0.001684,            0.001684,            0.001684
                  44,            0.028522,            0.019337,           0.0013197,             0.99782,             0.94444,             0.96892,             0.59102,            0.039817,           0.0080298,            0.001167,            0.001486,            0.001486,            0.001486
                  45,            0.028105,            0.019089,            0.001602,             0.99382,             0.93882,             0.96896,             0.60449,            0.039893,           0.0080735,            0.001156,            0.001288,            0.001288,            0.001288
                  46,            0.027666,            0.017954,           0.0020404,             0.99301,             0.93424,             0.96893,             0.60001,            0.039686,           0.0080855,           0.0011237,             0.00109,             0.00109,             0.00109
                  47,             0.02888,            0.020575,           0.0012238,             0.99658,             0.93275,             0.96894,              0.5933,            0.040206,           0.0081318,           0.0010705,            0.000892,            0.000892,            0.000892
                  48,            0.029259,            0.020693,           0.0025154,                   1,             0.93345,             0.96896,             0.59638,            0.040383,           0.0080854,          0.00098942,            0.000694,            0.000694,            0.000694
                  49,            0.026745,            0.018007,           0.0014701,             0.99822,              0.9369,             0.96958,             0.60187,            0.040455,           0.0080114,          0.00094398,            0.000496,            0.000496,            0.000496
